,text,adopted text,ids,source
0,"Domain Name Service (DNS) servers are a particular server type that help the internet function. The TCP/IP-protocol functions based on IP-addresses, while server addresses in URIs can be written as text. When a request to an URI is made, the server address in the URI needs to be first resolved into an IP address. If the server address is an IP address, no resolution needs to be made. Otherwise, the address needs to be looked up. Computers typically have a cache (a temporary memory) that contains recent visits to websites, storing both the text-based address and the corresponding IP address. If the address is within the cache, the resolution of the IP address happens locally on the computer. If the address is not in the cache, however, the address needs to be resolved using an external service. Here, DNS servers come into play. Whenever an address needs to be resolved, the computer sends a message to a DNS server asking for a corresponding IP address. Once the DNS server returns the IP address, the computer stores the IP address into its cache, and then continues by sending the message to the actual IP address. ","Domain Name Service (DNS) servers are a particular server type that help the internet function. The TCP/IP-protocol functions based on IP-addresses, while server addresses in URIs can be written as text. When a request to an URI is made, the server address in the URI needs to be first resolved into an IP address. If the server address is an IP address, no resolution needs to be made. Otherwise, the address needs to be looked up. Computers typically have a cache (a temporary memory) that contains recent visits to websites, storing both the text-based address and the corresponding IP address. If the address is within the cache, the resolution of the IP address happens locally on the computer. If the address is not in the cache, however, the address needs to be resolved using an external service. Here, DNS servers come into play. Whenever an address needs to be resolved, the computer sends a message to a DNS server asking for a corresponding IP address. Once the DNS server returns the IP address, the computer stores the IP address into its cache, and then continues by sending the message to the actual IP address. ",1,Arto Hellas. 2025. Web software development [online course materials].
1, ,We will need to go through the following steps since the kernel cannot directly access the main memory of the CPU (it can only access the memory of the GPU): Allocate some GPU memory for the input and output. Copy the input from the CPU memory to the GPU memory. Launch the kernel. Copy the result back from the GPU memory to the CPU memory. Release the GPU memory that we allocated.,2,Jukka Suomela. 2025. Programming Parallel Computers
2,"Other request types
GET and POST requests are most commonly used in the communication between the browsers and servers. A web page, or any associated content of a page such as an image, is practically always retrieved using a GET request. Similarly, information is practically always sent using the POST request.

HTTP-protocol defines also other request types, some of which are the following ones:

DELETE: asks for removing of a resource
HEAD: asks for the header information related to a resource, but not the resource itself (can be e.g. used for checking if an already downloaded resource has changed)
OPTIONS: requests information about the possible options available regarding a request (e.g. could the resource be removed with a request)","
There are a number of HTTP-protocol request types.
A web page, or any associated content of a page such as an image, is practically always retrieved using a GET request.
Similarly, information is practically always sent using the POST request. 
DELETE: asks for removing of a resource
HEAD: asks for the header information related to a resource, but not the resource itself (can be e.g. used for checking if an already downloaded resource has changed)
OPTIONS: requests information about the possible options available regarding a request (e.g. could the resource be removed with a request)",3,Arto Hellas. 2025. Web software development [online course materials].
3,"HTTP (HyperText Transfer Protocol) is the protocol used by browsers and servers for requests and responses. It built on top of the TCP/IP-protocol, which means that those working with the HTTP-protocol do not have to worry about the underlying concerns such as dividing requests into packets, making sure that packets arrive at the correct destination, making sure that the content of the packets is correct, or making sure that the message that the packets jointly build is correctly reconstructed.","HTTP (HyperText Transfer Protocol) is the protocol used by browsers and servers for requests and responses. It built on top of the TCP/IP-protocol, which handles the underlying concerns such as (1) dividing requests into packets, (2) ensuring that packets arrive at the correct destination, (3) making sure that the content of the packets is correct, or (4) making sure that the message that the packets jointly build is correctly reconstructed.",4,Arto Hellas. 2025. Web software development [online course materials].
4,There are four essential components of computational thinking: Decomposition � breaking a problem down into more manageable parts so that solutions can be found for each. This is also called factoring. Pattern recognition � looking for similarities within a problem or with other problems so that past solutions or knowledge can be re-used Algorithms � developing step-by-step solutions to each part of the problem Abstraction � generalising (abstracting) the important detail to make a solution reusable,There are four essential components of computational thinking. Decomposition (also called factoring) means breaking a problem down into more manageable parts so that solutions can be found for each. Pattern recognition is looking for similarities within a problem or with other problems so that past solutions or knowledge can be re-used. Algorithms mean developing step-by-step solutions to each part of the problem. Abstraction is generalising (abstracting) the important detail to make a solution reusable.,5,Belinda Weaver. 2025. Introducing Computational Thinking
5,"Steps in the data combination process
1. Create a new copy of the main data file with today�s date as part of the file name.
2. Move the previous version of the main data file to cloud storage.
3. Save all the new data files individually to local storage with the device ID of each as part of the file names.
4. Create a new weekly data file digest into which the daily digests from the different devices will be imported.
5. Import each daily digest to that data file with an append command, ensuring that the device ID relating to each file�s data is written into a separate column.
6. Append the weekly digest to the newly renamed main data file.
7. Verify that no data is missing. In OpenRefine, using Facet by Blank on the relevant data fields could be one way to verify that no data is missing.","Steps in the data combination process
1. Create a new copy of the main data file with today’s date as part of the file name.
2. Move the previous version of the main data file to cloud storage.
3. Save all the new data files individually to local storage with the device ID of each as part of the file names.
4. Create a new weekly data file digest into which the daily digests from the different devices will be imported.
5. Import each daily digest to that data file with an append command.
6. Ensure that the device ID relating to each file’s data is written into a separate column.
7. Append the weekly digest to the newly renamed main data file.
8. Verify that no data is missing. For example, in OpenRefine, using Facet by Blank on the relevant data fields could be one way to verify that no data is missing.",6,Belinda Weaver. 2025. Introducing Computational Thinking
6,"Write a Python program that checks the age of a user to determine if they will receive a youth or adult library card. The program should:

1. Store age in a variable.
2. Use an if statement to check if the age is 16 or older. If true, print �You are eligible for an adult li brary card.�
3. Use an else statement to print �You are eligible for a youth library card� if the age is less than 16.","Write a Python program that checks the age of a user to determine if they will receive a youth or adult library card. The program should: store age in a variable, use an if statement to check if the age is 16 or older. If true, print ‘You are eligible for an adult library card.’, if else, print ‘You are eligible for a youth library card.’ ",7,"James Allen, Markus J. Ankenbrand, James Baker, Sean Barberie, Christian Calogero Barra, Trevor Bekolay, John Blischak, K. Azalee Bostroem, Andrew P Boughton, Geoffrey Boushey, Hugo Bowne-Anderson, Petrina Collingwood, Logan Cox, Matt Critchlow, Tim Dennis, Jonah Duckles, Shyam Dwaraknath, Jason Ellis, Rémi Emonet, … yremmits. (2024). LibraryCarpentry/lc-python-intro: Python Intro for Libraries 2024-06 Update (2024.06)."
7,"Write a script that loops through the gapminder data by continent and prints out whether the mean life expectancy is smaller or larger than 50 years.
Step 1: We want to make sure we can extract all the unique values of the continent vector.
Step 2: We also need to loop over each of these continents and calculate the average life expectancy for each subset of data. We can do that as follows: 1. Loop over each of the unique values of �continent�. 2. For each value of continent, create a temporary variable storing that subset 3.Return the calculated life expectancy to the user by printing the output.
Step 3: The exercise only wants the output printed if the average life expectancy is less than 50 or greater than 50. So we need to add an if() condition before printing, which evaluates whether the calculated average life expectancy is above or below a threshold, and prints an output conditional on the result. We need to amend (3) from above: 3a. If the calculated life expectancy is less than some threshold (50 years), return the continent and a statement that life expectancy is less than threshold, otherwise return the continent and a statement that life expectancy is greater than threshold","Write a script that loops through the gapminder data by continent and prints out whether the mean life expectancy is smaller or larger than 50 years.
Step 1: We want to make sure we can extract all the unique values of the continent vector.
Step 2: We also need to loop over each of these continents and calculate the average life expectancy for each subset of data. We can do that as follows: 1. Loop over each of the unique values of continent. 2. For each value of continent, create a temporary variable storing that subset 3.Return the calculated life expectancy to the user by printing the output.
Step 3: The exercise only wants the output printed if the average life expectancy is less than 50 or greater than 50. So we need to add an if() condition before printing, which evaluates whether the calculated average life expectancy is above or below a threshold, and prints an output conditional on the result. We need to amend (3) from above: 3a. If the calculated life expectancy is less than some threshold (50 years), return the continent and a statement that life expectancy is less than threshold, otherwise return the continent and a statement that life expectancy is greater than threshold",8,"Naupaka Zimmerman and Sehrish Kanwal and Matthieu Bruneaux and Craig Gross. R for Reproducible Scientific Analysis, 2025"
, ,"One of your collaborators prefers to see the distributions of the larger vectors as a histogram instead of as a boxplot. In order to choose between a histogram and a boxplot we will edit the function plot_dist and add an additional argument use_boxplot. By default we will set use_boxplot to TRUE which will create a boxplot when the vector is longer than threshold. When use_boxplot is set to FALSE, plot_dist will instead plot a histogram for the larger vectors. If the length of the vector is shorter than threshold, plot_dist will create a stripchart.",9,"Thomas Cason and Rohit Goswami and Hugo Gruson and Katie O'Mahony. Programming with R, 2025"
9,"""The basic idea of the “port-numbering (PN) model is best explained through an example. Suppose the following claim: A is a PN-algorithm for finding a 2-approximation of a minimum vertex cover. Informally, this entails the following: (a) We can take any simple undirected graph G = (V, E). (b) We can then put together a computer network N with the same structure as G. A node v ∈ V corresponds to a computer in N, and an edge {u, v} ∈ E corresponds to a communication link between the computers u and v.
(c) Communication takes place through communication ports. A node of degree d corresponds to a computer with d ports that are labeled
with numbers 1, 2, . . . , d in an arbitrary order.
(d) Each computer runs a copy of the same deterministic algorithm A. All nodes are identical; initially they know only their own degree
(i.e., the number of communication ports).
(e) All computers are started simultaneously, and they follow algorithm A synchronously in parallel. In each synchronous communication round, all computers in parallel
(1) send a message to each of their ports,
(2) wait while the messages are propagated along the communication channels,
(3) receive a message from each of their ports, and
(4) update their own state.
(f) After each round, a computer can stop and announce its local
output: in this case the local output is either 0 or 1.
(g) We require that all nodes eventually stop—the running time of the
algorithm is the number of communication rounds it takes until
all nodes have stopped.
(h) We require that C = { v ∈ V : computer v produced output 1 }
is a feasible vertex cover for graph G, and its size is at most 2 times the size of a minimum vertex cover.""","All computers are started simultaneously, and they follow algorithm A synchronously in parallel. In each synchronous communication round, all the computers in parallel
(1) send a message to each of their ports,
(2) wait while the messages are propagated along the communication channels,
(3) receive a message from each of their ports, and
(4) update their own state.
",10,Juho Hirvonen and Jukka Suomela. 2025.Distributed Algorithms
